Total_Spending,Meat,Catalog,Wines,Income,Store,Web,Fish,Fruits,Sweets,Gold,Children,Parental_Status,NumWebVisitsMonth,Discount_Purchases,cluster
884.0,134,2,523,61823.0,10,8,37.0,7,14,126.5,1,1,7,4,1
606.0,48,3,546,67680.0,8,7,0.0,0,6,6.0,1,1,5,1,1
1076.0,367,4,398,70666.0,4,7,119.0,40,81,30.0,0,0,4,1,0
34.0,6,1,1,25721.0,2,1,3.0,3,6,15.0,1,1,7,1,2
11.0,1,0,10,32474.0,2,1,0.0,0,0,0.0,2,1,7,1,2
1274.0,309,10,688,88194.0,10,11,120.5,14,24,38.0,1,1,5,1,0
653.0,159,2,247,69096.0,10,5,7.0,49,81,109.0,1,1,4,1,1
1562.0,487,5,856,74854.0,5,2,58.0,59,29,73.0,3,1,5,7,1
1253.0,460,8,496,66991.0,6,4,120.5,36,60,12.0,0,0,3,3,0
109.0,43,0,25,51381.5,3,3,17.0,3,4,17.0,1,1,8,3,2
863.0,291,3,258,65031.0,13,10,84.0,81,37,86.0,1,1,7,4,1
661.0,65,2,565,60631.0,8,9,0.0,6,6,19.0,2,1,7,5,1
65.0,13,1,14,28332.0,4,2,4.0,10,15,9.0,0,0,2,1,2
13.0,6,0,2,40246.0,2,1,2.0,1,1,1.0,1,1,6,1,2
1890.0,556,6,721,75251.0,5,7,97.0,81,18,18.0,0,0,5,1,0
2209.0,556,8,1032,75825.0,9,5,120.5,81,81,51.0,0,0,4,0,0
18.0,5,0,1,26326.0,3,0,0.0,0,3,9.0,0,0,3,1,2
692.0,64,1,577,56046.0,8,10,0.0,0,0,51.0,0,0,8,2,1
165.0,68,1,64,29760.0,4,3,7.0,4,5,17.0,1,1,8,4,2
16.0,5,0,4,26304.0,2,1,2.0,1,0,4.0,1,1,7,1,2
79.0,19,0,25,23559.0,3,3,7.0,5,0,23.0,1,1,7,3,2
318.0,44,5,112,38620.0,3,2,34.0,17,22,89.0,0,0,3,1,0
778.0,424,10,163,81361.0,13,3,27.0,23,65,76.0,0,0,1,1,0
56.0,14,0,17,29440.0,4,1,10.0,8,4,3.0,2,1,7,2,2
151.0,16,1,130,36138.0,4,3,0.0,0,0,5.0,2,1,7,5,2
372.0,37,1,292,50388.0,6,6,0.0,6,3,34.0,1,1,7,4,1
1366.0,556,6,350,79593.0,7,5,110.0,60,81,126.5,0,0,2,1,0
194.0,39,2,135,54178.0,5,2,4.0,9,0,7.0,1,1,2,1,2
603.0,192,2,230,51381.5,8,7,49.0,42,37,53.0,3,1,9,12,1
18.0,8,0,7,51381.5,2,1,2.0,0,0,1.0,2,1,7,1,2
985.0,359,4,445,51381.5,8,2,98.0,37,28,18.0,0,0,1,1,0
32.0,10,0,15,42394.0,3,1,0.0,2,1,4.0,1,1,7,1,2
43.0,14,1,27,23626.0,3,3,0.0,2,0,0.0,1,1,5,3,2
45.0,11,0,5,30096.0,3,2,12.0,3,5,9.0,1,1,6,1,2
606.0,26,4,505,47916.0,6,7,0.0,0,0,75.0,1,1,6,5,1
63.0,7,0,51,51813.0,3,2,0.0,2,1,2.0,2,1,7,2,2
978.0,447,7,207,78497.0,12,5,75.0,26,0,126.5,0,0,2,1,0
410.0,92,2,135,50150.0,7,5,65.0,46,61,11.0,0,0,5,2,0
72.0,5,0,53,47823.0,3,2,2.0,1,1,10.0,1,1,8,2,2
55.0,6,0,41,34554.0,3,2,2.0,1,0,5.0,1,1,6,2,2
1169.0,183,5,386,85693.0,11,9,120.5,81,81,111.0,1,1,5,2,0
1120.0,276,3,562,65846.0,6,6,80.0,81,40,81.0,0,0,4,1,0
1097.0,556,11,217,87195.0,5,3,50.0,76,26,38.0,0,0,1,1,0
29.0,6,0,1,24594.0,3,1,10.0,3,0,9.0,1,1,5,1,2
187.0,32,1,144,49096.0,4,4,2.0,1,1,7.0,2,1,7,4,2
910.0,271,4,295,52413.0,12,6,75.0,81,81,65.0,2,1,6,4,1
145.0,31,1,76,38557.0,3,3,4.0,3,4,27.0,1,1,7,2,2
850.0,106,4,454,89058.0,4,5,31.0,81,22,43.0,0,0,2,1,0
969.0,292,6,425,77298.0,11,6,23.0,81,35,79.0,1,1,3,1,0
1820.0,311,4,1225,68126.0,5,7,23.0,17,51,86.0,0,0,9,1,0
608.0,21,1,527,57288.0,8,8,0.0,0,0,60.0,1,1,6,3,1
730.0,125,7,490,86037.0,11,6,29.0,44,20,22.0,0,0,3,1,0
551.0,101,4,378,43974.0,6,6,0.0,0,0,72.0,1,1,7,5,1
114.0,21,1,64,50785.0,3,2,0.0,1,1,27.0,2,1,6,2,2
1724.0,556,6,547,90765.0,5,4,120.5,81,81,33.0,0,0,1,0,0
577.0,94,1,47,36550.0,5,9,120.5,81,81,120.0,1,1,9,5,1
81.0,25,1,12,30753.0,3,1,0.0,5,9,30.0,2,1,5,2,2
33.0,7,0,1,21918.0,3,2,11.0,6,5,3.0,1,1,6,2,2
660.0,133,2,320,56129.0,10,6,39.0,48,72,48.0,1,1,4,4,1
80.0,29,1,34,32557.0,3,2,0.0,3,4,10.0,1,1,5,3,2
30.0,7,0,9,19510.0,3,1,3.0,0,4,7.0,2,1,7,2,2
43.0,14,0,17,30992.0,3,1,7.0,0,3,2.0,1,1,7,1,2
1135.0,102,8,722,101970.0,13,6,44.0,27,72,126.5,0,0,2,0,0
559.0,124,4,162,71488.0,7,3,40.0,33,28,126.5,0,0,1,2,0
1923.0,556,6,450,79607.0,6,3,120.5,81,0,126.5,0,0,1,1,0
90.0,16,0,70,54348.0,4,2,0.0,0,0,4.0,2,1,6,2,2
404.0,27,1,352,51381.5,7,6,10.0,0,0,15.0,1,1,6,3,1
661.0,110,3,492,77376.0,10,6,16.0,19,12,12.0,2,1,4,4,1
463.0,73,4,120,62998.0,5,5,65.0,58,81,58.0,1,1,5,5,1
632.0,47,1,534,61331.0,6,11,0.0,5,5,41.0,2,1,8,5,1
725.0,189,2,236,73448.0,9,7,23.0,81,41,126.5,0,0,4,1,0
725.0,196,5,231,51381.5,7,6,38.0,65,71,124.0,1,1,4,1,0
279.0,33,1,220,41551.0,5,5,3.0,0,0,23.0,2,1,8,5,1
1482.0,556,5,796,62981.0,13,4,38.0,14,44,0.0,0,0,3,1,0
29.0,3,0,0,9548.0,3,1,10.0,1,6,9.0,1,1,8,2,2
106.0,34,2,53,33762.0,2,2,2.0,1,0,16.0,3,1,8,3,2
49.0,8,1,15,35860.0,2,1,4.0,0,2,20.0,2,1,5,2,2
38.0,12,0,17,36921.0,3,2,3.0,1,1,4.0,2,1,7,2,2
2077.0,556,4,962,92859.0,12,5,52.0,61,61,20.0,0,0,2,1,0
1053.0,232,5,738,65104.0,7,3,13.0,0,20,50.0,1,1,7,2,1
1385.0,556,7,399,86111.0,10,5,36.0,28,40,126.0,0,0,2,1,0
871.0,132,5,614,68352.0,9,8,43.0,16,33,33.0,1,1,6,3,1
312.0,41,2,32,41883.0,3,4,73.0,34,16,116.0,1,1,7,3,1
877.0,141,3,598,59809.0,6,3,32.0,16,41,49.0,2,1,8,3,1
68.0,18,0,2,23957.0,3,2,20.0,1,11,16.0,1,1,6,1,2
22.0,10,0,6,38547.0,2,1,0.0,1,1,4.0,1,1,8,1,2
211.0,90,1,73,35688.0,4,4,12.0,3,1,32.0,3,1,8,7,1
127.0,29,1,42,49605.0,4,2,12.0,16,20,8.0,0,0,3,1,2
459.0,78,4,295,59354.0,7,4,39.0,21,13,13.0,2,1,3,1,1
460.0,48,1,346,65747.0,6,8,23.0,17,13,13.0,1,1,6,4,1
429.0,57,1,233,46344.0,5,7,8.0,20,20,91.0,1,1,7,4,1
89.0,24,0,5,34176.0,4,3,19.0,7,14,20.0,1,1,6,4,2
1021.0,57,5,888,61010.0,11,8,0.0,0,0,76.0,1,1,5,2,1
1381.0,269,4,997,69372.0,6,10,34.0,26,13,42.0,0,0,4,1,0
306.0,69,1,212,49967.0,5,6,4.0,6,12,3.0,1,1,7,3,1
18.0,7,0,8,60199.0,3,0,2.0,1,0,0.0,3,1,4,1,2
162.0,57,1,42,55375.0,6,1,10.0,11,28,14.0,1,1,2,1,2
1231.0,387,4,536,80317.0,10,3,120.5,11,81,57.0,0,0,1,1,0
13.0,3,0,5,30523.0,2,1,0.0,0,0,5.0,3,1,7,1,2
1706.0,249,6,1225,70356.0,9,10,43.0,16,16,33.0,0,0,6,2,0
121.0,49,0,53,23228.0,4,3,7.0,3,4,5.0,1,1,8,4,2
1293.0,240,4,1001,74165.0,10,5,16.0,12,12,12.0,0,0,2,1,0
1608.0,556,22,20,117416.25,0,0,1.0,2,2,1.0,1,1,0,15,1
88.0,32,0,18,43482.0,4,2,6.0,1,3,28.0,3,1,6,3,2
421.0,98,7,125,62551.0,4,6,120.5,16,21,27.0,0,0,3,1,0
259.0,33,2,212,52332.0,6,3,7.0,5,0,2.0,0,0,4,1,2
1117.0,305,4,277,66951.0,7,3,120.5,81,76,124.0,0,0,1,1,0
89.0,19,1,15,26091.0,3,2,8.0,10,17,20.0,2,1,5,3,2
36.0,10,0,7,33456.0,3,1,8.0,3,1,7.0,2,1,7,2,2
57.0,6,0,12,28718.0,3,2,11.0,4,8,16.0,1,1,8,2,2
148.0,24,1,85,50447.0,3,3,2.0,7,3,27.0,2,1,6,1,2
93.0,6,1,81,53537.0,3,2,0.0,0,0,6.0,2,1,5,2,2
119.0,12,2,59,52074.0,2,2,0.0,0,0,48.0,1,1,4,1,2
1835.0,449,8,1149,80427.0,8,11,69.0,71,71,26.0,1,1,5,1,0
1318.0,119,10,847,83837.0,5,9,86.0,66,81,111.0,0,0,4,1,0
45.0,14,0,29,38853.0,3,2,0.0,0,0,2.0,2,1,7,2,2
10.0,5,0,2,38285.0,3,0,2.0,0,0,1.0,3,1,2,1,2
978.0,447,7,207,78497.0,12,5,75.0,26,0,126.5,0,0,2,1,0
191.0,22,1,152,51650.0,4,4,2.0,3,5,7.0,1,1,5,1,2
57.0,10,1,12,16248.0,3,2,3.0,11,12,9.0,1,1,6,3,2
1033.0,195,4,620,66835.0,13,6,34.0,26,17,126.5,0,0,2,1,0
66.0,6,1,47,30477.0,3,1,0.0,1,0,12.0,1,1,6,1,2
43.0,7,0,1,28249.0,3,2,2.0,9,14,10.0,0,0,6,1,2
50.0,18,1,10,25271.0,2,1,10.0,1,4,7.0,1,1,9,1,2
39.0,2,0,35,32303.0,4,1,0.0,0,0,2.0,1,1,5,2,2
608.0,107,1,356,61286.0,8,7,19.0,0,9,117.0,1,1,5,2,1
1581.0,537,10,783,74068.0,9,4,120.5,30,76,15.0,0,0,2,1,0
68.0,18,0,42,45759.0,3,2,3.0,1,0,4.0,2,1,7,2,2
80.0,10,1,1,24882.0,2,1,29.0,4,0,36.0,1,1,6,1,2
1282.0,432,7,466,66973.0,12,8,120.5,22,81,102.0,0,0,3,1,0
65.0,8,1,15,36640.0,2,2,7.0,6,4,25.0,1,1,5,1,2
91.0,21,0,23,38872.0,3,3,3.0,3,19,22.0,1,1,8,2,2
315.0,45,1,235,51148.0,6,5,8.0,6,9,12.0,2,1,6,4,1
31.0,10,1,10,31353.0,2,1,3.0,0,1,7.0,2,1,8,2,2
834.0,106,3,656,69661.0,12,7,32.0,16,16,8.0,0,0,3,1,0
1600.0,556,6,519,80067.0,6,4,27.0,17,81,51.0,0,0,2,1,0
1270.0,482,6,344,86718.0,5,5,50.0,81,33,126.5,0,0,2,1,0
263.0,79,1,96,46854.0,3,5,7.0,1,1,79.0,2,1,8,6,1
535.0,34,1,448,69142.0,7,8,6.0,4,4,39.0,1,1,5,3,1
1295.0,553,4,265,75922.0,9,4,120.5,81,23,92.0,0,0,1,1,0
1150.0,337,6,587,63693.0,9,11,42.0,43,81,54.0,1,1,6,3,1
1240.0,138,9,763,102160.0,10,7,76.0,29,81,58.0,0,0,4,0,0
38.0,13,0,22,40637.0,3,1,0.0,0,0,3.0,2,1,7,2,2
35.0,1,1,6,18890.0,2,0,7.0,4,2,15.0,0,0,6,1,2
53.0,13,0,7,29604.0,3,1,7.0,6,6,14.0,1,1,9,1,2
293.0,113,2,81,48721.0,5,4,47.0,18,13,21.0,2,1,6,6,1
65.0,7,0,54,44794.0,3,2,0.0,0,0,4.0,1,1,6,1,2
1804.0,320,4,1170,64497.0,9,11,42.0,48,32,126.5,1,1,8,5,1
241.0,68,1,72,46097.0,6,3,65.0,24,4,8.0,1,1,4,5,1
1101.0,319,6,613,77972.0,9,4,33.0,22,81,12.0,0,0,1,1,0
264.0,30,1,224,44377.0,5,5,0.0,0,0,10.0,2,1,8,8,1
541.0,59,1,410,46014.0,8,7,19.0,0,9,44.0,2,1,7,10,1
1198.0,554,4,239,70951.0,9,3,120.5,10,81,54.0,0,0,1,1,0
482.0,171,1,171,41443.0,5,8,25.0,7,19,89.0,1,1,8,6,1
17.0,4,0,12,52195.0,2,1,0.0,0,0,1.0,3,1,8,1,2
1615.0,417,10,1076,83790.0,6,8,42.0,16,48,16.0,0,0,3,1,0
285.0,33,1,182,44551.0,5,4,0.0,4,0,66.0,1,1,7,2,2
1135.0,162,4,824,69508.0,11,11,42.0,32,32,43.0,1,1,6,2,1
114.0,25,1,30,45204.0,4,1,29.0,11,1,18.0,1,1,3,1,2
1047.0,540,5,377,72460.0,7,3,80.0,10,30,10.0,0,0,1,1,0
714.0,154,3,520,77622.0,11,6,19.0,7,0,14.0,2,1,3,2,1
185.0,25,1,155,30732.0,4,4,0.0,1,1,3.0,1,1,8,4,2
1245.0,207,6,897,63887.0,12,9,15.0,23,11,92.0,1,1,6,5,1
189.0,16,1,131,42011.0,4,3,2.0,0,1,39.0,1,1,8,4,2
576.0,79,2,297,51369.0,4,8,0.0,7,11,126.5,1,1,8,2,1
1103.0,204,2,787,51537.0,11,2,0.0,20,0,92.0,1,1,8,3,1
1753.0,556,5,792,79930.0,8,3,67.0,81,51,17.0,0,0,2,1,0
17.0,9,0,4,34320.0,2,1,3.0,1,0,0.0,1,1,8,1,2
433.0,137,1,231,37070.0,8,5,4.0,7,15,39.0,2,1,7,9,1
1588.0,184,3,983,81975.0,4,6,120.5,76,81,27.0,1,1,7,1,0
22.0,8,0,3,38590.0,2,1,4.0,1,3,3.0,1,1,8,1,2
19.0,5,0,0,15033.0,3,1,6.0,4,0,4.0,0,0,3,1,2
1117.0,464,8,562,62745.0,11,7,28.0,21,10,32.0,1,1,5,3,1
69.0,20,0,5,22212.0,4,2,6.0,9,8,21.0,1,1,6,2,2
23.0,4,0,18,23661.0,3,1,0.0,0,0,1.0,1,1,7,1,2
605.0,124,2,415,79761.0,11,5,15.0,5,35,11.0,1,1,3,1,1
57.0,10,1,5,7500.0,3,3,12.0,3,7,20.0,1,1,7,4,2
22.0,5,0,8,60182.0,2,1,7.0,0,0,2.0,1,1,4,1,2
2088.0,556,5,901,73455.0,10,6,120.5,61,81,20.0,0,0,3,1,0
1009.0,276,4,382,64961.0,4,6,75.0,81,81,38.0,1,1,3,2,1
26.0,7,0,14,22804.0,2,2,2.0,1,1,1.0,1,1,9,1,2
1627.0,503,9,559,73687.0,9,3,120.5,81,13,126.5,0,0,2,1,0
1102.0,133,5,789,61074.0,8,11,0.0,0,28,126.5,1,1,7,7,1
17.0,5,0,11,31686.0,3,1,0.0,0,0,1.0,2,1,6,2,2
1690.0,272,3,1218,80134.0,6,5,104.0,16,0,80.0,1,1,6,2,1
1390.0,179,4,925,75027.0,6,9,120.5,64,12,77.0,1,1,5,2,1
2126.0,556,10,864,67546.0,5,4,120.5,81,38,126.5,0,0,3,1,0
1531.0,183,6,960,65176.0,6,9,120.5,28,70,70.0,1,1,6,4,1
64.0,25,0,16,31160.0,3,2,6.0,3,1,13.0,1,1,8,2,2
26.0,7,0,3,29938.0,3,1,0.0,3,2,11.0,1,1,6,2,2
1112.0,444,9,168,102692.0,13,6,32.0,81,81,126.5,0,0,2,1,0
210.0,52,1,45,26490.0,5,3,21.0,47,20,25.0,0,0,6,2,1
1148.0,353,6,650,75702.0,11,4,45.0,28,42,30.0,2,1,8,5,1
33.0,8,0,24,30899.0,3,1,0.0,0,0,1.0,1,1,6,2,2
1101.0,118,3,918,63342.0,5,8,13.0,21,10,21.0,1,1,6,3,1
322.0,87,2,138,45989.0,7,3,28.0,33,24,12.0,1,1,3,4,1
44.0,2,0,12,18701.0,4,2,10.0,4,6,10.0,2,1,5,4,2
17.0,4,0,11,40737.0,2,1,0.0,0,0,2.0,3,1,8,1,2
31.0,8,1,1,15287.0,2,1,4.0,2,3,13.0,1,1,7,2,2
845.0,215,2,554,69674.0,10,10,11.0,41,0,24.0,2,1,5,3,1
275.0,62,1,167,44159.0,6,4,24.0,2,13,7.0,1,1,5,4,1
25.0,6,0,9,37717.0,2,1,4.0,0,1,5.0,1,1,9,1,2
275.0,71,2,177,43776.0,4,5,3.0,2,2,20.0,2,1,8,6,1
90.0,22,1,38,38179.0,3,3,4.0,4,2,20.0,2,1,7,4,2
1495.0,398,7,483,80124.0,8,3,120.5,81,81,126.5,0,0,1,1,0
184.0,35,2,77,38097.0,2,3,0.0,2,1,69.0,2,1,7,4,2
981.0,298,3,182,72940.0,6,3,120.5,74,81,116.0,0,0,1,1,0
67.0,19,2,10,22070.0,2,2,8.0,7,2,21.0,1,1,6,2,2
1635.0,499,4,778,69267.0,5,3,95.0,44,73,126.5,0,0,7,2,0
60.0,23,0,16,31788.0,4,3,0.0,7,8,6.0,1,1,5,3,2
231.0,43,2,167,61905.0,4,4,6.0,0,2,13.0,1,1,5,2,2
48.0,14,0,13,29315.0,4,2,8.0,2,7,4.0,2,1,6,4,2
99.0,40,0,33,33378.0,4,2,3.0,6,7,10.0,2,1,7,3,2
770.0,99,3,625,66313.0,12,6,10.0,7,22,7.0,1,1,4,2,1
957.0,224,4,216,60714.0,10,7,101.0,81,81,126.5,0,0,5,2,0
818.0,396,3,68,77882.0,5,3,120.5,81,22,15.0,0,0,1,1,0
925.0,512,5,196,69867.0,8,3,33.0,0,81,54.0,0,0,1,1,0
908.0,100,3,635,63841.0,9,9,20.0,15,7,126.5,1,1,6,1,1
102.0,9,0,4,24480.0,4,3,28.0,19,25,17.0,1,1,7,3,2
576.0,79,2,297,51369.0,4,8,0.0,7,11,126.5,1,1,8,2,1
317.0,38,1,84,37760.0,6,4,120.5,5,12,28.0,0,0,7,2,1
461.0,149,1,204,65640.0,8,5,20.0,7,15,66.0,1,1,2,1,1
37.0,8,0,26,44319.0,3,2,0.0,0,0,3.0,2,1,5,2,2
70.0,20,1,15,30631.0,2,3,4.0,6,5,20.0,1,1,7,1,2
930.0,230,3,304,75278.0,13,6,120.5,81,74,74.0,0,0,3,1,0
859.0,242,2,285,50898.0,12,6,55.0,28,81,126.5,2,1,5,13,1
1478.0,556,11,395,79946.0,5,5,120.5,81,81,28.0,0,0,3,1,0
390.0,81,1,248,35416.0,5,7,4.0,3,3,51.0,0,0,8,3,1
52.0,5,0,20,32414.0,3,1,0.0,6,9,12.0,0,0,7,1,2
137.0,56,1,39,38361.0,3,3,20.0,0,8,14.0,1,1,7,3,2
1919.0,556,7,777,82497.0,9,2,120.5,81,21,126.5,0,0,4,1,0
68.0,22,0,8,16626.0,3,3,21.0,3,1,13.0,2,1,9,3,2
25.0,3,0,9,29672.0,3,0,0.0,1,4,8.0,2,1,6,1,2
1374.0,80,6,1225,55951.0,11,3,0.0,0,13,40.0,1,1,8,3,1
32.0,7,0,6,35388.0,3,1,4.0,4,3,8.0,1,1,7,1,2
100.0,16,0,65,42386.0,3,3,0.0,4,4,11.0,1,1,8,1,2
825.0,263,3,395,68627.0,6,2,60.0,15,54,38.0,0,0,1,1,0
916.0,80,3,801,57912.0,12,8,0.0,0,0,35.0,1,1,5,5,1
62.0,12,1,36,35246.0,3,3,2.0,0,2,10.0,2,1,5,4,2
728.0,154,2,513,58821.0,9,9,19.0,14,0,28.0,1,1,6,1,1
90.0,46,1,37,46377.0,3,2,4.0,0,3,0.0,1,1,4,1,2
273.0,93,1,80,39747.0,4,5,20.0,15,13,52.0,1,1,8,3,1
66.0,21,1,14,23976.0,3,3,2.0,1,3,25.0,1,1,7,3,2
1213.0,112,7,525,80950.0,9,6,120.5,81,81,63.0,0,0,2,1,0
107.0,25,0,1,27038.0,3,3,17.0,26,23,15.0,0,0,9,1,2
1157.0,400,5,675,77457.0,10,2,15.0,11,45,11.0,0,0,1,1,0
546.0,27,3,509,64100.0,6,8,0.0,0,0,10.0,1,1,7,1,1
241.0,46,2,154,42670.0,4,4,20.0,2,4,15.0,0,0,4,1,2
53.0,14,1,3,12571.0,3,3,2.0,5,12,17.0,1,1,6,4,2
37.0,8,0,25,22574.0,3,2,2.0,0,0,2.0,3,1,7,2,2
1611.0,461,5,861,51381.5,12,6,60.0,81,30,61.0,0,0,3,1,0
1508.0,556,6,768,70893.0,10,6,77.0,44,44,14.0,0,0,3,1,0
235.0,28,1,185,54198.0,6,3,3.0,0,2,17.0,2,1,4,6,2
32.0,7,0,24,28839.0,3,2,0.0,0,0,1.0,2,1,5,2,2
102.0,21,0,44,40321.0,3,3,6.0,4,0,27.0,2,1,7,2,2
401.0,128,3,91,66503.0,6,4,65.0,64,3,50.0,1,1,3,2,1
28.0,7,0,11,30833.0,3,1,3.0,0,1,6.0,2,1,5,2,2
1052.0,172,3,738,51381.5,10,2,52.0,20,50,20.0,3,1,7,6,1
680.0,119,3,412,64795.0,12,3,38.0,5,29,77.0,1,1,2,3,1
30.0,7,0,3,34421.0,2,1,6.0,3,2,9.0,1,1,7,1,2
20.0,3,0,16,47025.0,2,1,0.0,0,0,1.0,2,1,7,1,2
1307.0,353,3,731,64325.0,5,10,78.0,60,12,73.0,1,1,7,5,1
630.0,118,2,424,40464.0,8,8,7.0,17,23,41.0,1,1,8,6,1
1283.0,275,8,792,62187.0,5,4,45.0,0,45,126.0,0,0,3,1,0
65.0,28,0,21,14849.0,4,2,3.0,2,2,9.0,1,1,8,3,2
37.0,11,0,22,27255.0,3,1,0.0,1,1,2.0,1,1,7,1,2
38.0,5,0,33,54432.0,3,1,0.0,0,0,0.0,3,1,4,1,2
160.0,59,1,68,29999.0,4,3,10.0,7,5,11.0,1,1,8,4,2
23.0,6,0,9,24072.0,2,1,3.0,1,0,4.0,1,1,8,1,2
71.0,15,1,40,33996.0,3,1,8.0,2,0,6.0,0,0,4,1,2
1161.0,218,3,909,66334.0,5,9,0.0,11,0,23.0,1,1,5,2,1
59.0,13,1,23,35178.0,2,1,2.0,1,2,18.0,1,1,7,1,2
33.0,9,0,11,22010.0,3,2,3.0,2,0,8.0,1,1,8,2,2
